Period$_b$      	       10.9165082224 +         0.0001459466 -         0.0001340071 
T$_0,$$_b$      	       55.0810447297 +         0.0005841292 -         0.0005903659 
$\sqrt{e}\cos \omega$$_b$	       -0.2355377952 +         0.0003573225 -         0.0003325956 
$\sqrt{e}\sin \omega$$_b$	        0.0062489192 +         0.0029708939 -         0.0028867941 
i$_b$           	       91.2591221544 +         0.1112192960 -         0.1191940360 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0280469280 +         0.0035301899 -         0.0035354185 
R$_p$/R$_s$$_b$ 	        0.0355401259 +         0.0001962695 -         0.0001996131 
Period$_c$      	       22.2648275714 +         0.0007145341 -         0.0007075932 
T$_0,$$_c$      	       61.3689845519 +         0.0272267873 -         0.0270297984 
$\sqrt{e}\cos \omega$$_c$	        0.2392877555 +         0.0007714494 -         0.0009549990 
$\sqrt{e}\sin \omega$$_c$	       -0.0073427689 +         0.0035180067 -         0.0035866329 
i$_c$           	       93.1027676178 +         0.6721464614 -         0.6597630672 
$\Omega$$_c$    	       -0.1807332683 +         0.1457364917 -         0.1568636682 
M$_{jup,}$$_c$  	        0.6309449161 +         0.0093174247 -         0.0094019351 
R$_p$/R$_s$$_c$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
Period$_d$      	     1478.8784051223 +       175.5674131507 -        73.7614303443 
T$_0,$$_d$      	     1253.3914157605 +        83.7165365358 -       187.2598593370 
$\sqrt{e}\cos \omega$$_d$	        0.6706220214 +         0.0547725175 -         0.0473686453 
$\sqrt{e}\sin \omega$$_d$	        0.0741895654 +         0.0681320096 -         0.0635864032 
i$_d$           	       89.0000000000 +         0.0000000000 -         0.0000000000 
$\Omega$$_d$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_d$  	        2.9164049815 +         0.2025409532 -         0.1843843500 
R$_p$/R$_s$$_d$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
M$_s$           	        0.9265243374 +         0.0128613519 -         0.0130092654 
R$_s$           	        0.9197336177 +         0.0186118914 -         0.0185756802 
c$_1$           	        0.3892578295 +         0.0714205059 -         0.0729054819 
c$_2$           	        0.2907535254 +         0.1074298046 -         0.1044010580 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
$\sigma$$_b$    	        7.2824104596 +         1.1326543741 -         0.9348599611 
