Period$_b$      	       10.9165203602 +         0.0001106712 -         0.0001303618 
T$_0,$$_b$      	       55.0810671225 +         0.0005209645 -         0.0005918704 
$\sqrt{e}\cos \omega$$_b$	       -0.2355366489 +         0.0003110493 -         0.0003255756 
$\sqrt{e}\sin \omega$$_b$	        0.0064452798 +         0.0023321889 -         0.0027562158 
i$_b$           	       91.2707233703 +         0.1011498629 -         0.1205842932 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0282051950 +         0.0034213664 -         0.0032600357 
R$_p$/R$_s$$_b$ 	        0.0355560215 +         0.0001853116 -         0.0002064177 
Period$_c$      	       22.2648715083 +         0.0006888989 -         0.0006392741 
T$_0,$$_c$      	       61.3708160985 +         0.0205672759 -         0.0264822512 
$\sqrt{e}\cos \omega$$_c$	        0.2391524449 +         0.0008106021 -         0.0007763635 
$\sqrt{e}\sin \omega$$_c$	       -0.0076173069 +         0.0034249680 -         0.0028546144 
i$_c$           	       93.2457534028 +         0.5072064736 -         0.6121251645 
$\Omega$$_c$    	       -0.1535104409 +         0.1226016933 -         0.1475846164 
M$_{jup,}$$_c$  	        0.6300880253 +         0.0091513711 -         0.0078639885 
R$_p$/R$_s$$_c$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
Period$_d$      	     1438.5656363929 +         7.3660983116 -         3.6351709970 
T$_0,$$_d$      	     1291.4992154456 +         3.5111827343 -         5.1870949125 
$\sqrt{e}\cos \omega$$_d$	        0.6618862142 +         0.0114840019 -         0.0134137337 
$\sqrt{e}\sin \omega$$_d$	        0.0630977664 +         0.0572854912 -         0.0493628708 
i$_d$           	       89.0000000000 +         0.0000000000 -         0.0000000000 
$\Omega$$_d$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_d$  	        2.9178892224 +         0.1552001365 -         0.1298674458 
R$_p$/R$_s$$_d$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
M$_s$           	        0.9247977315 +         0.0137212303 -         0.0104311465 
R$_s$           	        0.9211426399 +         0.0176531039 -         0.0191499461 
c$_1$           	        0.3896610069 +         0.0645920788 -         0.0711716876 
c$_2$           	        0.2899444938 +         0.1050522188 -         0.0943403997 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
$\sigma$$_b$    	        7.0261603737 +         0.9937654312 -         0.8627011408 
$\sigma$$_c$    	        8.1822607819 +         5.4135728084 -         4.6122248372 
Period$_b$      	       10.9165203602 +         0.0001106712 -         0.0001303618 
T$_0,$$_b$      	       55.0810671225 +         0.0005209645 -         0.0005918704 
$\sqrt{e}\cos \omega$$_b$	       -0.2355366489 +         0.0003110493 -         0.0003255756 
$\sqrt{e}\sin \omega$$_b$	        0.0064452798 +         0.0023321889 -         0.0027562158 
i$_b$           	       91.2707233703 +         0.1011498629 -         0.1205842932 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0282051950 +         0.0034213664 -         0.0032600357 
R$_p$/R$_s$$_b$ 	        0.0355560215 +         0.0001853116 -         0.0002064177 
Period$_c$      	       22.2648715083 +         0.0006888989 -         0.0006392741 
T$_0,$$_c$      	       61.3708160985 +         0.0205672759 -         0.0264822512 
$\sqrt{e}\cos \omega$$_c$	        0.2391524449 +         0.0008106021 -         0.0007763635 
$\sqrt{e}\sin \omega$$_c$	       -0.0076173069 +         0.0034249680 -         0.0028546144 
i$_c$           	       93.2457534028 +         0.5072064736 -         0.6121251645 
$\Omega$$_c$    	       -0.1535104409 +         0.1226016933 -         0.1475846164 
M$_{jup,}$$_c$  	        0.6300880253 +         0.0091513711 -         0.0078639885 
R$_p$/R$_s$$_c$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
Period$_d$      	     1438.5656363929 +         7.3660983116 -         3.6351709970 
T$_0,$$_d$      	     1291.4992154456 +         3.5111827343 -         5.1870949125 
$\sqrt{e}\cos \omega$$_d$	        0.6618862142 +         0.0114840019 -         0.0134137337 
$\sqrt{e}\sin \omega$$_d$	        0.0630977664 +         0.0572854912 -         0.0493628708 
i$_d$           	       89.0000000000 +         0.0000000000 -         0.0000000000 
$\Omega$$_d$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_d$  	        2.9178892224 +         0.1552001365 -         0.1298674458 
R$_p$/R$_s$$_d$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
M$_s$           	        0.9247977315 +         0.0137212303 -         0.0104311465 
R$_s$           	        0.9211426399 +         0.0176531039 -         0.0191499461 
c$_1$           	        0.3896610069 +         0.0645920788 -         0.0711716876 
c$_2$           	        0.2899444938 +         0.1050522188 -         0.0943403997 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
$\sigma$$_b$    	        7.0261603737 +         0.9937654312 -         0.8627011408 
$\sigma$$_c$    	        8.1822607819 +         5.4135728084 -         4.6122248372 
M$_b$           	        8.9643890174 +         1.0874046242 -         1.0361292837 
M$_c$           	      200.2593553641 +         2.9085581787 -         2.4993924884 
M$_d$           	      927.3856845415 +        49.3268845628 -        41.2754566689 
R$_b$           	        3.5713826366 +         0.0843820234 -         0.0919643383 
R$_c$           	       10.0440806884 +         0.1924883206 -         0.2088097924 
R$_d$           	       10.0440806884 +         0.1924883206 -         0.2088097924 
$\rho$$_b$      	        1.0868430439 +         0.1529168975 -         0.1403380085 
$\rho$$_c$      	        1.0894673780 +         0.0698329403 -         0.0585049566 
$\rho$$_d$      	        5.0550499967 +         0.4240030533 -         0.3625173104 
$e_b$           	        0.0555191136 +         0.0001319300 -         0.0001176570 
$e_c$           	        0.0572623738 +         0.0003658557 -         0.0003615355 
$e_d$           	        0.4446310899 +         0.0156701783 -         0.0146539586 
